Plant,Technology,Output_Y,Capacity_R
i1,bof,13.596779188374057,63.03317487731933
i2,bof,10.03942369366996,63.053340730090426
i3,bof,11.877449823077768,63.109916712909595
i4,bof,12.572038541547954,62.98154910534698
i5,bof,10.007852771086618,63.07253812489133
i6,eaf,12.90802001254633,11.525063851408294
i7,eaf,10.789526040898636,11.474684692146985
i8,eaf,11.795141529291868,11.574396016486554
i9,eaf,13.228159392019734,11.585662838982634
i10,eaf,13.879116813186556,11.502400981025264
i11,dri,12.818234207807109,0.11243892000564532
i12,dri,3.214327651076019,0.0
i13,dri,0.0,0.0
i14,dri,0.0,0.0
i15,dri,0.0,0.0
